0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/css/hzw-city-picker.css HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/laydate.js HTTP/1.1" 200 27378
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/city-data.js HTTP/1.1" 200 48340
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/hzw-city-picker.min.js HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11125
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:48:26 +0800] "GET /MainTicketSystem/js/theme/default/laydate.css?v=5.0.9 HTTP/1.1" 200 7979
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:21 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:21 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:21 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 200 14939
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:39 +0800] "GET /MainTicketSystem/index0.html HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:39 +0800] "GET /MainTicketSystem/js/jquery-1.11.3.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:39 +0800] "GET /MainTicketSystem/js/jquery-1.11.3.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:46 +0800] "GET /MainTicketSystem/index2.html HTTP/1.1" 200 2608
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:46 +0800] "GET /MainTicketSystem/js/jquery-1.11.3.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:49:51 +0800] "GET /MainTicketSystem/js/jquery-1.11.3.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:50:11 +0800] "GET /MainTicketSystem/index0.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:50:11 +0800] "GET /MainTicketSystem/js/jquery-1.11.3.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:50:11 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:50:11 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4816
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:51:32 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:52:47 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4870
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:52:48 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:52:48 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 4993
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:55:27 +0800] "GET /MainTicketSystem/images/%E6%8E%92%E5%BA%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:56:07 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:56:31 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:56:49 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5035
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:56:49 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:56:49 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:00 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5041
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:43 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/mainticket.html HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/css/hzw-city-picker.css HTTP/1.1" 200 2509
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/css/mainticket.css HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/css/combo.select.css HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/js/hzw-city-picker.min.js HTTP/1.1" 200 5002
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/js/jquery-1.9.0.min.js HTTP/1.1" 200 93068
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/js/jquery.SuperSlide.2.1.1.js HTTP/1.1" 200 11422
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/js/mainticket.js HTTP/1.1" 200 11125
0:0:0:0:0:0:0:1 - - [11/Jun/2018:23:57:58 +0800] "GET /MainTicketSystem/js/jquery.combo.select.js HTTP/1.1" 200 14939
